caption,file_path,text,data
A man speaks with others speaking in the distance followed by a girl speaking and others laughing,105306.wav,had scoliosis and had surgery here and they just do a great job here.,ac
A man yelling followed by an infant crying then a woman shouting as a crowd of people talk and laugh,106145.wav,"Hey kid, good thing you're crying baby, get back over here, huh? No! No! Come by, cheese!",ac
A man speaking as a faucet pours water several times while water drains down a pipe,106142.wav,The one on the front is a proximity sensor. So it will turn on and off as you move your hand into and away from it. So showing off some of the,ac
A person speaks and makes meow sounds,103476.wav,I'm gonna scratch your fucking eyes out!,ac
A man speaks with distant traffic passing and some nearby rattling,103015.wav,"We have from ASP, we have ASP key defender, which is a very nice kubiton and pepper spray unit which is",ac
A man speaks followed by popping noise and laughter,103011.wav,"Big surprise to him, he is.",ac
A duck quacks followed by a man talking while birds chirp in the distance,105141.wav,Your competition chatter is more of a rolling type of chatter.,ac
A person whistling then a man speaking with plastic tapping,106550.wav,"Mama Mama snow mama come over here, baby",ac
A man talking as a motorbike engine runs and accelerates,106553.wav,But as soon as you crack the throttle a little bit it suddenly turns into a sport bike. What the fuck are you doing? Crazy pigeons.,ac
Rain falling as a motor engine runs idle and a man talks,106556.wav,Little bit of bad weather.,ac
A short hammering sound followed by two men speaking,105923.wav,We might be able to get away with taking off the bottom shelf. Oh yeah. Before you know we,ac
A male speech and wind and then birds chirping,105927.wav,pretty smart she probably she snaps at them.,ac
A man speaking followed by a woman talking then plastic clacking as footsteps walk on grass and a rooster crows in the distance,105926.wav,Good boy. Good boy. Come on. Good boy. That's a good boy.,ac
Applause and speech followed by a loud high pitched bell and more applause and speech,103191.wav,"You're pushing it. You're pushing it, professor. Jerry Coyne is a professor in the Department of Ecology and Evolution at the University of",ac
Two men speaking with loud insects buzzing,103194.wav,I've got gloves covered in mid repellent. Still fishing.,ac
A man speaks with a high frequency hum with some banging and clanking,104424.wav,just like that and get a glass out,ac
Metal clacking in a pan as a woman talks while food and oil sizzle,104428.wav,Adding our drumsticks. Let's just...,ac
A man talking followed by another man speaking then a group of people laughing and a man speaking a bit in the background,106373.wav,cards of the format maybe I still like by maxi course danko fusion bi star kongkong,ac
A crowd of people applauding and cheering,106379.wav,Thank you.,ac
A low slow groan followed by a crash and men speaking with distant birds,103132.wav,"We've got the beach to ourselves! Oh, the beach? You need a tap of that. Twenty pence please. Here you are.",ac
A man speaking as plastic is clanking followed by a door hatch opening and plastic tumbling with a vehicle engine revving in the background,107426.wav,"And there's a plastic clip right here. You can use a regular scale driver to pry it out. Alright, flip this.",ac
A man speaks with some high pitched ringing and some rustling,107421.wav,stand for my first model. Here I started doing the arms.,ac
A male speaking and rustling,105489.wav,Good boy. Good boy. Come on. Good boy. That's a good boy.,ac
A man speaks followed by eructation,103423.wav,What was that?,ac
A man speaking as rain lightly falls followed by thunder,103426.wav,"100% waterproof and windproof and yet extremely breathable. Check us out online at frogtalks.com. Frog Talks, stop the rain.",ac
A woman speaks while delivering a speech,106928.wav,"abortion, each with their own cost. A medical abortion is one that uses pharmaceutical drugs rather than surgical method. It is known as the abortion pill. The pill is only effective during the first trimester.",ac
Brief speech followed by loud applause and cheering,106929.wav,Thank you.,ac
Vibrations of an idling engine with a man speaking,106924.wav,"Maybe I'll get a few rez, but I'm not gonna probably rev it at all.",ac
A man whistles and then speaks loudly while some rustling and banging in the background,106927.wav,"Mama Mama snow mama come over here, baby",ac
A kid speaking as camera plastic clicking followed by a crowd of people gasping and talking followed by a person whistling,106923.wav,What's a beautiful apple? Is that that mare? No. Oh my god.,ac
A large truck engine running idle as a man is talking and wind blows into a microphone,104386.wav,Now y'all let's come on inside of my truck. Here we go.,ac
A man talking before and after a young kid talks as plastic rattles followed by an electronic beep,105383.wav,Cranking noises Cranking see you know I've taken the parts out I,ac
Male speaking with rustling in the background,105382.wav,Now y'all let's come on inside of my truck. Here we go.,ac
A motorboat engine running as a man talks followed by wind blowing into a microphone and plastic clacking,106970.wav,Nice boat.,ac
Instrumental music playing followed by heavy fabric being rustled then a man whistling,107150.wav,I'm sorry.,ac
A man talking as metal clacks followed by metal scrapping against a metal surface,104656.wav,"or low, so keep it at the same angle, apply constant even pressure and slowly swipe down the face of the blade, the draw knife.",ac
A gun cocking then firing as metal clanks on a hard surface followed by a man talking during an electronic laser effect as gunshots and explosions go off in the distance,105093.wav,There you see? No problem.,ac
A loud burst and a metallic ring followed by men speaking and laughing,106709.wav,Okay.,ac
A woman talking while children talk in the background,106883.wav,the horses. At a Dalmatian road trial the dogs are judged in five different opulenceia medians exercises. The rider does not have to ride side saddle as,ac
A crowd is clapping at an animal of some kind,25400.wav,Thank you.,ac
"A large motor vehicle engine is idling, an adult female speaks, vehicle traffic is present, and people talk in the background",102998.wav,Unless they have free naps.,ac
"Roaring is present, cracking occurs, a metal clink, and an adult male speaks",18180.wav,Easy!,ac
A man speaks and then two ticktocks click off,103112.wav,your face you'd like to make that decision wouldn't you? Certainly would. Well we're gonna find out what that decision will be in just a moment.,ac
A man talking followed by plastic crumpling and crinkling,103801.wav,that have an HDMI connection but do not come with a cable for some reason they like to cut costs so you do have the cable included here.,ac
Loading and firing of a gun with the sound of running o f footsteps at the end and a man speaking,1037.wav,There you see? No problem.,ac
Music plays followed by some banging and whooshes then gunshots and a grunt from a man,103539.wav,Come on!,ac
Male speech with people speaking in the background,105779.wav,early on in the ball game when we bought him last August. He was kind of the session star when we bought him and he looks like he's filling out and growing up pretty nicely.,ac
A man talking followed by a woman shouting then yelling as wind blows into a microphone while birds chirp in the background,106458.wav,There they go.,ac
Instrumental music playing as a woman speaks followed by rain pouring then rain falling on a surface,106451.wav,Daniel came out of the airport. He raised one arm to hail a taxi.,ac
Whistling and then a female singing,105856.wav,In a bar,ac
Rustling followed by a man speaking and a child laughing,104147.wav,right you hit mommy with a snowball,ac
A woman speaks followed by a girl speaking faintly,104142.wav,Let's see how you did tonight. What do you got in there?,ac
A motorcycle engine is idling and vibrating while an adult male speaks,105238.wav,"Yeah, the next thing I'm going to add is an automatic start. I already got everything else, so I might as well get the automatic start going. Here's the front turn signal to headlight.",ac
Speech and then a pop and laughter,106239.wav,"Big surprise to him, he is.",ac
A tin can rattling followed by a woman talking,106235.wav,The IT services at the King's University College are proud to announce that we have launched,ac
A cat meowing and young female speaking,106231.wav,it's cracked see you can see oopsie when I do this it opens,ac
A man is speaking with rumbling in the background,106798.wav,"We have from ASP, we have ASP key defender, which is a very nice kubiton and pepper spray unit which is",ac
A man talking then meowing and hissing,103671.wav,I'm gonna scratch your fucking eyes out!,ac
A vehicle engine running idle as a man is talking,103677.wav,"Maybe I'll get a few rez, but I'm not gonna probably rev it at all.",ac
"Male speech, a door closing, and then male speech",105855.wav,me and just for me and you to hang out together. God's not like a cranky neighbor so we need to persist in,ac
A man and a woman laughing then talking followed by someone claps as a bell jingles repeatedly,103449.wav,Are you kidding me? I'm getting a video. Come on buddy. Give it to Mo.,ac
A man talking as metal clanks repeatedly on a porcelain dish,103535.wav,"going to whisk up these eggs really quick like this. It doesn't have to be perfect, just mix them up quickly and you can use a whisk or whatever. Work works well. Then",ac
A synthesized rumble followed by a robotic woman talking alongside electronic beeps followed by a man speaking then another man speaking through an intercom as music plays in the background,106806.wav,Let's talk BB talking. That's what I want.,ac
A man speaking while crinkling paper followed by plastic creaking then a toilet flushing,106805.wav,Now I'll make it flush.,ac
Gunshots firing before and after a person loudly exhaling followed by a revolver chamber spinning as a heart beats and footsteps walking on a stone surface,104511.wav,He's reloading.,ac
People are laughing followed by a kid speaking,104515.wav,Who is that?,ac
A woman speaks while a crowd talks and chuckles,104514.wav,I'm melting!,ac
"People are giggling, and a man speaks",105643.wav,What was Kevin doing mum?,ac
Several gunshots firing followed by two men talking then music playing,102914.wav,"Right, first up this week's Craig is this trick right here. It's a bottle of water. But it's not just a normal bottle of water if I...",ac
A man speaks followed by a child speaking and crying with adults speaking and laughing,102917.wav,"Hey kid, good thing you're crying baby, get back over here, huh? No! No! Come by, cheese!",ac
A motorboat engine running as a man is talking followed by a plastic clank while wind blows into a microphone,102911.wav,Nice boat.,ac
A man speaking and birds chirping,103735.wav,Both of them have the same numbers but for some reason the lace spring has a little stronger weed killer. That's for weeds that have already emerged and I guess the early,ac
A duck quacking followed by a man speaking,103730.wav,Your competition chatter is more of a rolling type of chatter.,ac
An electronic beep followed by a man talking,104724.wav,Hello friends in this video we are going to show you how to load data from server-side in angularjs. We already have initial setup ready we just need to,ac
A man is speaking while typing,106383.wav,underscore input open parentheses you are a winner face,ac
A child and a woman laughing followed by a woman talking then a man shouting,102893.wav,She loves that laugh.,ac
A man speaking while water is spraying into a sink and draining,102895.wav,"Some people talk about fucking the heads, but the way I do it, I just put my finger down there and pull it out.",ac
A woman speaks as food sizzles in a pan,106651.wav,and in a pan I have some 80-20 ground beef that I am browning up and in this pot I have some water boiling and I'm going to,ac
A person making noises and screaming,106654.wav,I'm not free yet. I'm not free yet. You're free! Free! Free!,ac
A man speaking in the background as another man speaks in the foreground followed by a crowd of people applauding,106655.wav,"represents peace tolerance and diversity. Mr. Speaker, he failed.",ac
An engine idling and ticking with distant traffic and a man speaking,102768.wav,"No, it's still there. I think it's huge.",ac
Men speak with gunshots and booms,102762.wav,I didn't need you. Hurry!,ac
A pig oinking followed by a man screaming,103967.wav,I'm not free yet. I'm not free yet. You're free! Free! Free!,ac
A man is speaking and a baby whimpers followed by a woman talking,103964.wav,"Hey kid, good thing you're crying baby, get back over here, huh? No! No! Come by, cheese!",ac
A woman talking followed by a plate rattling as food and oil sizzle,106824.wav,Now that we're back we have fried our chicken nuggets and now we're going to take out the last batch look how pretty brown,ac
An engine is idling followed by a male speaking,27998.wav,"Maybe I'll get a few rez, but I'm not gonna probably rev it at all.",ac
A woman talking before and after a water faucet pouring followed by clapping,104811.wav,pour it up again. After that just dry up and continue your night regimen as normal and it's as simple as that.,ac
A woman speaks with some light sanding,106714.wav,"I don't want to actually have too much pressure, but I want some of that lighter pink to come through in some of the areas. Remember the purpose of the water.",ac
"An adult female speaks, an adult male speaks, and a crowd of people laugh and talk in the background",105377.wav,I'm melting!,ac
Man yelling and belching,14190.wav,What is that? Exactly!,ac
Music plays followed by a man speaking,106818.wav,"Hey, this is Big Kenny. Sound the System. Abarroza. You gotta check it out. Alright? Come on. Peace.",ac
A woman is speaking over a microphone,103026.wav,"The song, Light the Fire Within, is one of those inspiring songs. And it is so fitting for this year's Light it Up Convention theme.",ac
Whistling with small rustling and groaning,103027.wav,"Mama Mama snow mama come over here, baby",ac
A man talks like a cat before growling then meowing and finally hissing,103024.wav,I'm gonna scratch your fucking eyes out!,ac
"A man speaking, followed by a door shutting, and then the man speaks some more",104223.wav,me and just for me and you to hang out together. God's not like a cranky neighbor so we need to persist in,ac
Loud explosions and bangs followed by men speaking,104597.wav,"Right, first up this week's Craig is this trick right here. It's a bottle of water. But it's not just a normal bottle of water if I...",ac
Food and oil sizzling followed by oil popping then steam hissing as a man talks and light music plays in the background,104595.wav,Can I add the andouille? I add a little fresh herb. I add some white balsamic vinegar.,ac
Typing on a keyboard with a man speaking,105178.wav,"When you're in, just type in claim web. If it doesn't work, it's probably because you put it under the wrong process.",ac
"An adult male speaks hesitantly, and electronic beeps randomly occur",105174.wav,to add more varieties into your wor- So that's why I'm- That's the- The game has all- So may-,ac
A woman speaks with flapping wings and chirping birds,105170.wav,See told ya.,ac
"Whispering followed by loud, consistent sizzling",103122.wav,Epic sound effects,ac
A man speaks while water splashes,106528.wav,in the amateur show tonight then tomorrow on Saturday the broadcasters and the other amateur cast will be going out hope to do well there get some good footage hope you enjoy,ac
A whooshing effect followed by a robotic woman speaking and electronic beeps then a man speaking and music playing along with a man speaking through an intercom,106520.wav,Let's talk BB talking. That's what I want.,ac
Sizzling and male speech with more sizzling,105950.wav,Can I add the andouille? I add a little fresh herb. I add some white balsamic vinegar.,ac
Water lapping in waves as a man talking,105953.wav,Standing on the edge of the dock.,ac
A man speaks with some clinking and clanking,104060.wav,"Just give that a little mix. Now what this is, is the acids in",ac
A man speaks with some clicking and rattling followed by a flushing toilet,104105.wav,Now I'll make it flush.,ac
Water pouring from a faucet and draining into a pipe while a young girl talks followed by a brush scrubbing then a person spitting,103741.wav,This is the last time you did that first thing. Same thing.,ac
A woman speaking,103279.wav,"as if it were a muscle. As if you were bringing your arm toward you, your tongue curls this way. And the R is made in the middle.",ac
A man talking followed by a woman shouting as wind blows into a microphone and birds chirp in the background,104419.wav,There they go.,ac
Water trickling while a man speaks,104411.wav,Here we have a Britain Stratton 5 horsepower horse drove L4 motor and it is on the back of this 17 foot,ac
Bee buzzes while man speaks,106308.wav,and so also things like dandelions are brilliant. Lots of flowers right through the season from,ac
A dog barking as a man is talking while wind blows into a microphone as birds chirp in the distance,106309.wav,"Good girl, good girl, good girl, bring them on, bring them on, good girl, bring them on, good girl.",ac
A man speaking followed by footsteps on gravel as birds chirp in the background,106301.wav,and see who we land on. Got my glasses taped so I cannot see.,ac
A man talking as footsteps walk on dirt and gravel followed by a police siren in the distance as birds chirp in the background,102811.wav,Both of them have the same numbers but for some reason the lace spring has a little stronger weed killer. That's for weeds that have already emerged and I guess the early,ac
Some rustling followed by whistling,102813.wav,I'm sorry.,ac
A man shouting before and after a person belches loudly,102815.wav,What is that? Exactly!,ac
A man talks followed by whispering and food sizzling,102817.wav,Epic sound effects,ac
Hog snorting with male screaming,105454.wav,I'm not free yet. I'm not free yet. You're free! Free! Free!,ac
A woman talking then laughing as a crowd of people talk in the background,107161.wav,I'm melting!,ac
Metal squeaking and clanking followed by a man talking then a faucet pouring water,107169.wav,Then put the cap back on and it should work.,ac
A man talking with light tapping and a vehicle passing by in the background,13767.wav,"No, it's still there. I think it's huge.",ac
A man speaks followed by a child crying and then a woman speaking,106827.wav,"Hey kid, good thing you're crying baby, get back over here, huh? No! No! Come by, cheese!",ac
A woman talking as food and oil sizzles and metal clacks in a pot followed by a girl speaking,107425.wav,"and then you drink the drink, let all the scratch dry well",ac
A kid speaking followed by a toilet flushing then a girl talking,106975.wav,Well see you next Tuesday,ac
Rain falling with distant humming and a man speaking,106973.wav,Little bit of bad weather.,ac
A man talking during a series of metal clacking against a dish,106978.wav,"going to whisk up these eggs really quick like this. It doesn't have to be perfect, just mix them up quickly and you can use a whisk or whatever. Work works well. Then",ac
A man speaks with some humming and birds chirping,105055.wav,"She proudly guards her kill, an event seldom seen in the wild and never before felt.",ac
A person whistling followed by a young woman singing,105054.wav,In a bar,ac
A man talking as paper crinkles followed by plastic creaking then a toilet flushing,104608.wav,Now I'll make it flush.,ac
A crowd of people applaud and cheer,104602.wav,Thank you.,ac
A crowd applauds and there is a muffled speaker in the background,106119.wav,Thank you.,ac
"A short, single beep followed by a man talking",107034.wav,Hello friends in this video we are going to show you how to load data from server-side in angularjs. We already have initial setup ready we just need to,ac
Two men are speaking and paper is being shuffled,107036.wav,Antford briefs the press on the ground rules.,ac
"Loud crumpling followed by loud, high pitched buzzing",103269.wav,Thank you.,ac
"Water sloshes as a motor runs, then a man briefly speaks",106771.wav,Easy!,ac
A click occurs then a woman speaks followed by a sewing machine stitching,107250.wav,So it's going to create the overlock stitch and cut off the excess fabric at the same time. It's pretty cool.,ac
A man talking as wood clanking as steam hisses in the background,103144.wav,to get your full name so I can look up on Spartan Marines page to see if you guys actually liked it. So make sure you follow all the rules and if I pick your name you'll win as long as you do not have to.,ac
Rustling followed by brief speech and water running,103146.wav,Now I'll make it flush.,ac
Children screaming as a man laughs followed by someone whispering then a young boy talking,103141.wav,I got it.,ac
Rapid and repeated gunfire and then a male speech,105720.wav,"Okay, let's go look at the paper.",ac
A group of men speaking as cannons fire while rain falls and water splashes followed by thunder roaring,104926.wav,Fire! What's happening? They've hit the sand!,ac
"An adult male speaks in the foreground, and dogs are barking and people are talking in the background",106403.wav,and contain them until that person can be taken into custody effectively and safely on the part of the other team of police sheriffs.,ac
A man speaking with some rustling and humming,104046.wav,"And there's a plastic clip right here. You can use a regular scale driver to pry it out. Alright, flip this.",ac
A man speaks with some clicking and some sanding,104113.wav,on the shaft but what I'm going to do is try to lightly scrape here.,ac
An infant and a woman laughing followed by someone spits then a woman talking,103330.wav,"Oh man, your mom's gonna love this",ac
Music playing with some whooshes and gunshots with faint brief speaking,103337.wav,Come on!,ac
"A woman is speaking, and a horse brays",106260.wav,the horses. At a Dalmatian road trial the dogs are judged in five different opulenceia medians exercises. The rider does not have to ride side saddle as,ac
A crowd of people applauding followed by a woman speaking,104687.wav,Thank you.,ac
A man talking as an infant is crying followed by a man humming,104686.wav,"We're going to show you how Janie stops crying when we hum the name, Notre Dame Victory March.",ac
"An adult male speaks, followed by another adult male speaking",104681.wav,Antford briefs the press on the ground rules.,ac
"An adult female speaks in a quiet environment, and her voice is electronically amplified",104680.wav,"The song, Light the Fire Within, is one of those inspiring songs. And it is so fitting for this year's Light it Up Convention theme.",ac
"Male speaking, laughter and shouting and clapping",106193.wav,"That bass is so much bigger than you do. I mean, it's so huge. Huge. Yes! AJ, I got one thing to tell you. Don't be jealous.",ac
A young kid is talking as a cat is growling then meowing with a series of electronic buzzing,106194.wav,it's cracked see you can see oopsie when I do this it opens,ac
A child speaks followed by second child speaking as well,103642.wav,"Say yeah, baby. Say yeah, baby. Are you over tired?",ac
A man speaking as vehicles drive by and leaves rustling,106832.wav,This is a typical number plate. A lot of vehicle manufacturers will supply vehicles with number plates that are just stuck on with double sided tape. These can,ac
A woman and a child speaking,103856.wav,homework did you have fun day at school yeah yeah how fun was your day,ac
A woman speaking with a child speaking,103858.wav,homework did you have fun day at school yeah yeah how fun was your day,ac
A man and woman speak and people clap and a bell rings,107350.wav,"You're pushing it. You're pushing it, professor. Jerry Coyne is a professor in the Department of Ecology and Evolution at the University of",ac
A man speaking on a microphone as a crowd of people laugh followed by glass clinking,107351.wav,I hate to start off on a somber note.,ac
A motorboat engine running and a man speaking,104192.wav,Nice boat.,ac
A duck quacks followed by a man talking,105241.wav,Your competition chatter is more of a rolling type of chatter.,ac
A man speaks with wind blowing and buzzing of insects,106609.wav,I've got gloves covered in mid repellent. Still fishing.,ac
A group of people laughing followed by a man talking then more laughter,102732.wav,What was Kevin doing mum?,ac
A man is speaking and a dog is barking,11262.wav,and contain them until that person can be taken into custody effectively and safely on the part of the other team of police sheriffs.,ac
"A man speaking, accelerating a vehicle",27486.wav,second gear the car doesn't spool up too quick anymore because of the turbo and,ac
A woman speeches while cooks,103954.wav,Adding our drumsticks. Let's just...,ac
A woman speaks followed by birds chirping,105144.wav,See told ya.,ac
A power tool drilling followed by a man talking then wooden thump followed by a door closing shut,103696.wav,Okay.,ac
A construction vehicle engine running and water splashing as wood crackles and snaps followed by electronic beeping and a man talking,107074.wav,Easy!,ac
Men speak followed by laughing,105006.wav,cards of the format maybe I still like by maxi course danko fusion bi star kongkong,ac
Light wind with people screaming and engine running,103950.wav,"You know it? Woo hoo! Yep, keep going.",ac
A man is speaking while typing on a keyboard,106723.wav,underscore input open parentheses you are a winner face,ac
A woman speaks with some rustling and hissing,106721.wav,So you pump it with air until you feel a bit of resistance and then you just spray and that's just really controlling the,ac
Frogs croaking together with a man speaking followed by rustling,106727.wav,we got this year,ac
Speaking followed by water running,105827.wav,Then put the cap back on and it should work.,ac
Man speaks followed by second man speaking then aircraft engine whines while starting,105828.wav,sounds like a top fuel alcohol,ac
A woman speaks via a public address system,107095.wav,the horses. At a Dalmatian road trial the dogs are judged in five different opulenceia medians exercises. The rider does not have to ride side saddle as,ac
A man speaks then a sudden explosion which is followed by smaller explosions and thunder,4626.wav,Fire! What's happening? They've hit the sand!,ac
Splashing water with some rustling followed by a man speaking,104012.wav,Next step is we're going to go ahead and peel of course some apples. I got this nifty little device here that I,ac
A man talking as a man laughs then talks in the background while a horse snorts and trots,104013.wav,early on in the ball game when we bought him last August. He was kind of the session star when we bought him and he looks like he's filling out and growing up pretty nicely.,ac
A man talking as goats baa while wind blows into a microphone followed by another goat baaing and a metal gate sliding,106875.wav,"Okay, what we're gonna do we're gonna take the mamas, we're gonna bring them over here and we're gonna make them submit on the ground.",ac
A man speaking as a muffled helicopter engine runs over an intercom before and after several gunshots firing followed by an electronic beep then radio static,103563.wav,"AA, west of your location. Objective Alpha has just been neutralized.",ac
Man talking with cranking noises in the background,12038.wav,Cranking noises Cranking see you know I've taken the parts out I,ac
"Outside noises of insects buzzing around, birds communicating and a man exchanging information with another man",21639.wav,"Dark honey. These are honey cells here so... Yeah, there's a brood in here.",ac
"Woman speaking, plastic container opening",13075.wav,The IT services at the King's University College are proud to announce that we have launched,ac
A man talking then whistling,104250.wav,was the day that I do my video and I dropped a couple of hydrocodone so I'm on the,ac
An engine idling and a man speaking,104252.wav,tired of sitting around I'm here with Terry from another edge driver in truck 138 and he's fired up the barbecue he's cooking fajitas,ac
"An adult female speaks, water runs from a faucet and splashes, and then the adult female speaks again",105613.wav,pour it up again. After that just dry up and continue your night regimen as normal and it's as simple as that.,ac
Sizzling and a female speaking,105617.wav,"and then you drink the drink, let all the scratch dry well",ac
Man speaking water moving in background,105614.wav,Standing on the edge of the dock.,ac
A man speaks followed by a popping noise and laughter,104563.wav,"Big surprise to him, he is.",ac
Mechanical noises followed by pigs oinking and a man talking,107203.wav,Pretty tightly contested race here.,ac
Man speaking then a faint clicking noise,12262.wav,stand for my first model. Here I started doing the arms.,ac
A vehicle engine works and then a man talks,104019.wav,Easy!,ac
"A horse walks while an adult male speaks, an adult female speaks briefly, and roosters are crowing in the distance",103101.wav,Good boy. Good boy. Come on. Good boy. That's a good boy.,ac
Wind blowing and waves crashing with people speaking,103103.wav,"Take a picture of her other, other, other lad and then take a picture of her other girl.",ac
A man speaks followed by a digital beep,103105.wav,to add more varieties into your wor- So that's why I'm- That's the- The game has all- So may-,ac
A man is speaking with crowd noise in the background,105791.wav,"Good football team to open goals here. What a way to do it. Well, we had one goal come to this team. To make sure 16 teams left.",ac
A man speaking on a microphone followed by another man speaking on a microphone as a crowd of people laugh and cheer,105799.wav,"That bass is so much bigger than you do. I mean, it's so huge. Huge. Yes! AJ, I got one thing to tell you. Don't be jealous.",ac
A man talking while wood clanks on a metal pan followed by gravel crunching as food and oil sizzle,104777.wav,with anything else you have to season your vegetables so I'm going to take some black pepper and if any of you that watch me know that I,ac
A man is speaking as birds are chirping,104774.wav,We might be able to get away with taking off the bottom shelf. Oh yeah. Before you know we,ac
Female speaking,105429.wav,"in his hand, he had that acting degree. He had a dream and he wanted to fulfil. He was in this dreamland.",ac
"A woman speaks, and faucet water runs",91375.wav,pour it up again. After that just dry up and continue your night regimen as normal and it's as simple as that.,ac
Men talking followed by an engine starting,105012.wav,"The engine hasn't run for several days. I have the clean in my hands, but the final is still in my hands.",ac
Food and oil sizzling followed by a woman talking then plastic thumping,106941.wav,Now that we're back we have fried our chicken nuggets and now we're going to take out the last batch look how pretty brown,ac
A man speaks followed by bursts of hissing,105321.wav,"And as you can see here, hopefully you guys can see this.",ac
"A man speaks, and a child speaks followed by laughter",104351.wav,had scoliosis and had surgery here and they just do a great job here.,ac
Drums and music playing with a man speaking,105086.wav,"Hey, this is Big Kenny. Sound the System. Abarroza. You gotta check it out. Alright? Come on. Peace.",ac
Beeping sound with person talking in the background,15695.wav,That isn't wired up by the way. Let's get this one here too. That's it.,ac
An infant and a woman laughing followed by a person spitting then a woman talking,103693.wav,"Oh man, your mom's gonna love this",ac
Some light clicks followed by a man speaking and water splashing,106735.wav,Then put the cap back on and it should work.,ac
Food and oil sizzling followed by steam hissing as a man talks and light rock music plays in the background,103229.wav,Can I add the andouille? I add a little fresh herb. I add some white balsamic vinegar.,ac
Applause and some muffled speech,105568.wav,Thank you.,ac
A man speaks over a loudspeaker with a crowd talking in the distance and dogs barking,105120.wav,and contain them until that person can be taken into custody effectively and safely on the part of the other team of police sheriffs.,ac
A woman speaks with some rattling and some spraying,105124.wav,So you pump it with air until you feel a bit of resistance and then you just spray and that's just really controlling the,ac
Humming followed by faint cracking oinks and a man speaking,105129.wav,Pretty tightly contested race here.,ac
A child is speaking followed by a door moving,105698.wav,"Okay, then...",ac
"Female speech, a toilet flushing and then more speech",105692.wav,Well see you next Tuesday,ac
Male speech and a bug buzzing,105691.wav,and so also things like dandelions are brilliant. Lots of flowers right through the season from,ac
